Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) Entries,Friday Entries,Saturday Entries,Sunday Entries,Weekday (Mon-Thu) Exits,Friday Exits,Saturday Exits,Sunday Exits,Annualised En/Ex,year
LU,500,ACTu,Acton Town,Station entry / exit,Gateline,"6,851","6,899","5,657","3,961","6,886","6,691","5,559","4,174","2,902,697","2,021"
LU,502,ALDu,Aldgate,Station entry / exit,Gateline,"8,038","6,690","5,035","3,585","9,655","8,611","7,453","4,595","3,525,128","2,021"
LU,503,ALEu,Aldgate East,Station entry / exit,Gateline,"12,751","13,270","13,617","9,980","11,984","12,882","12,951","8,261","5,611,130","2,021"
LU,505,ALPu,Alperton,Station entry / exit,Gateline,"3,109","3,121","2,543",1654.222222,"3,347","3,325","2,537",1732.444444,"1,345,253","2,021"
LU,506,AMEu,Amersham,Station entry / exit,Gateline,2384.052632,2248.666667,1744.857143,1089.285714,2315.210526,2174.666667,1544.714286,1062.857143,"946,577","2,021"
LU,507,ANGu,Angel,Station entry / exit,Gateline,"16,234","17,601","14,286","9,694","17,205","19,337","15,229","9,890","7,258,744","2,021"
LU,508,ARCu,Archway,Station entry / exit,Gateline,"9,878","10,130","8,148","5,549","9,318","9,051","7,017","5,273","4,027,456","2,021"
LU,509,AGRu,Arnos Grove,Station entry / exit,Gateline,"4,686","4,832","4,257","3,067","4,347","4,373","3,835","2,955","1,963,343","2,021"
LU,510,ARLu,Arsenal,Station entry / exit,Gateline,"2,847","3,151",2910.7,2050.375,2520.842105,2539.571429,2454.1,2036,"1,209,093","2,021"
LU,511,BSTu,Baker Street,Station entry / exit,Gateline,"26,481","26,299","20,714","14,374","26,852","27,029","21,177","14,622","11,147,642","2,021"
LU,512,BALu,Balham LU,Station entry / exit,Gateline,"11,980","12,553","12,223","7,520","12,598","12,105","11,728","7,755","5,356,512","2,021"
LU,513,BNKu,Bank and Monument,Station entry / exit,Gateline,"47,852","35,146","19,494","11,930","50,707","38,873","22,558","12,430","17,657,529","2,021"
LU,501,BARu,Barbican,Station entry / exit,Gateline,"8,778","7,849",4749.181818,3029.727273,"9,377","8,407",5182.727273,3168.454545,"3,467,856","2,021"
LU,514,BKGu,Barking,Station entry / exit,Gateline,"22,401","22,524","17,313","11,593","22,258","22,302","16,920","11,482","9,272,519","2,021"
LU,515,BDEu,Barkingside,Station entry / exit,Gateline,1585.8,1536,1045.6,670.6363636,1664.55,1568.1,1068.3,707.0909091,"647,203","2,021"
LU,516,BCTu,Barons Court,Station entry / exit,Gateline,"7,268","6,988","5,245","3,668","7,024","6,394","4,663","3,691","2,900,237","2,021"
LU,517,BAYu,Bayswater,Station entry / exit,Gateline,"3,051","3,529",4187.5,3248.888889,"2,987","3,547",4045.75,2677.333333,"1,498,957","2,021"
LU,518,BECu,Becontree,Station entry / exit,Gateline,"4,425","4,394","3,042",1905.1,"4,326","4,212","2,832",1895,"1,759,768","2,021"
LU,519,BPKu,Belsize Park,Station entry / exit,Gateline,"6,465","6,449","4,499","3,351","6,332","6,014","4,253",3272,"2,609,939","2,021"
LU,787,BERu,Bermondsey,Station entry / exit,Gateline,"9,737","10,097","9,102","6,027","9,503","9,533","8,795","5,956","4,176,709","2,021"
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Gateline,"14,525","15,583","14,334","10,276","13,771","14,582","13,756","9,733","6,322,604","2,021"
LU,521,BLFu,Blackfriars LU,Station entry / exit,Gateline,"12,199","10,286","8,879",6667.1,"11,667","9,929",7897.333333,6099.2,"4,795,990","2,021"
LU,522,BHRu,Blackhorse Road,Station entry / exit,Gateline,"12,057","12,329","10,422","6,999","11,457","11,186","9,234","6,748","4,985,901","2,021"
LU,524,BDSu,Bond Street,Station entry / exit,Gateline,"35,930","34,595","36,512",21311.22222,"36,693","35,134","36,422",20770.44444,"15,694,939","2,021"
LU,525,BORu,Borough,Station entry / exit,Gateline,"4,834","5,048","4,177","2,607","4,874","4,980","4,264",2663.625,"2,066,434","2,021"
LU,526,BOSu,Boston Manor,Station entry / exit,Gateline,"2,068","2,118","1,710","1,149","2,141","2,093","1,549","1,188","879,895","2,021"
LU,527,BGRu,Bounds Green,Station entry / exit,Gateline,"5,904","6,113","5,278","3,722","5,739","5,735","4,854","3,702","2,509,255","2,021"
LU,528,BWRu,Bow Road,Station entry / exit,Gateline,"5,518","5,622","4,336",2945.75,"5,345","5,048",3910.375,3032,"2,257,180","2,021"
LU,529,BTXu,Brent Cross,Station entry / exit,Gateline,"2,666","2,417","1,778","1,643","2,577","2,324","1,705","1,619","1,071,927","2,021"
LU,778,BRXu,Brixton LU,Station entry / exit,Gateline,"28,198","31,524","31,360","20,600","27,434","31,129","31,133","20,249","12,831,056","2,021"
LU,530,BBBu,Bromley-by-Bow,Station entry / exit,Gateline,"5,021","5,074","3,431",2535,"4,988","4,740","3,113",2555.5,"2,030,519","2,021"
LU,531,BHLu,Buckhurst Hill,Station entry / exit,Gateline,"2,685","2,511",2124.125,1202.5,"2,610","2,362",1917.25,1187.1,"1,072,751","2,021"
LU,532,BURu,Burnt Oak,Station entry / exit,Gateline,"4,751","4,718","3,345","2,429","4,605","4,465","3,144","2,377","1,912,270","2,021"
LU,534,CRDu,Caledonian Road,Station entry / exit,Gateline,"5,868","6,149","4,862",3481.5,"5,537","5,448","4,352",3405.375,"2,421,295","2,021"
LU,535,CTNu,Camden Town,Station entry / exit,Gateline,"16,728","20,125",28059,18815.5,"17,342","22,358",31247.16667,19218.25,"9,118,497","2,021"
LU,788,CWRu,Canada Water,Station entry / exit,Gateline,"12,239","13,430","17,208","9,602","12,443","14,928","17,213","9,673","5,970,317","2,021"
LU,852,CWFu,Canary Wharf LU,Station entry / exit,Gateline,"44,825","37,978","32,852",22234.11111,"46,446","39,230","33,863",22539.11111,"18,288,802","2,021"
LU,884,CNTu,Canning Town,Station entry / exit,Gateline,16995.94118,17994.75,16135.11111,12443,16972.58824,17631.625,15699.55556,12006.33333,"7,522,672","2,021"
LU,536,CSTu,Cannon Street LU,Station entry / exit,Gateline,"6,056","4,827","3,270","2,116","5,398","4,288","2,939","1,778","2,147,772","2,021"
LU,537,CPKu,Canons Park,Station entry / exit,Gateline,"3,019","2,879","2,496","1,518","3,021","2,796","2,436","1,544","1,249,231","2,021"
LU,539,CLFu,Chalfont & Latimer,Station entry / exit,Scaled,"1,946","1,690","1,253",751,"1,768","1,577","1,325",848,"736,602","2,021"
LU,540,CHFu,Chalk Farm,Station entry / exit,Gateline,"5,061","5,864","6,081","3,759","4,423","4,904","4,833","3,099","2,195,398","2,021"
LU,541,CYLu,Chancery Lane,Station entry / exit,Gateline,"15,160","11,107","4,969","2,540","16,450","12,485","5,482","2,595","5,469,516","2,021"
